title,user_score,usa_gross
miss jerry,59.0,
the story of the kelly gang,61.0,
den sorte drøm,58.0,
cleopatra,52.0,
l'inferno,70.0,
"from the manger to the cross; or, jesus of nazareth",57.0,
madame dubarry,68.0,
quo vadis?,62.0,
independenta romaniei,67.0,
richard iii,55.0,
atlantis,66.0,
fantômas - à l'ombre de la guillotine,70.0,
ingeborg holm,71.0,
juve contre fantômas,70.0,
ma l'amor mio non muore...,62.0,
maudite soit la guerre,65.0,
le mort qui tue,70.0,
"home, sweet home",58.0,
der student von prag,65.0,
traffic in souls,60.0,
gli ultimi giorni di pompei,62.0,
assunta spina,64.0,
the avenging conscience: or 'thou shalt not kill',64.0,
the bargain,65.0,
cabiria,71.0,
cinderella,60.0,
l'enfant de paris,75.0,
fantômas contre fantômas,69.0,
a florida enchantment,58.0,
der golem,68.0,
det hemmelighedsfulde x,70.0,
"his majesty, the scarecrow of oz",52.0,
hypocrites,66.0,
in the land of the head hunters,58.0,
judith of bethulia,61.0,
the patchwork girl of oz,55.0,
the perils of pauline,63.0,
the squaw man,57.0,
tess of the storm country,61.0,
tillie's punctured romance,63.0,
a tolonc,63.0,
uncle tom's cabin,53.0,
the virginian,56.0,
the wishing ring: an idyll of old england,64.0,
the wrath of the gods,57.0,
alias jimmy valentine,66.0,
alice in wonderland,62.0,
the birth of a nation,63.0,
carmen,64.0,
the cheat,66.0,
the coward,60.0,
a fool there was,58.0,
the golden chance,64.0,
hævnens nat,68.0,
the italian,66.0,
maciste,59.0,
martyrs of the alamo,56.0,
the nigger,61.0,
posle smerti,69.0,
rapsodia satanica,69.0,
the regeneration,68.0,
les vampires,73.0,
young romance,59.0,
"20,000 leagues under the sea",62.0,
the children in the house,45.0,
civilization,60.0,
the devil's needle,68.0,
dödskyssen,61.0,
flirting with fate,64.0,
going straight,53.0,
the good bad-man,66.0,
gretchen the greenhorn,57.0,
the half-breed,66.0,
hell's hinges,68.0,
his picture in the papers,59.0,
hoodoo ann,56.0,
intolerance: love's struggle throughout the ages,78.0,
judex,74.0,
the matrimaniac,60.0,
pikovaya dama,70.0,
reggie mixes in,47.0,
the return of draw egan,65.0,
schuhpalast pinkus,56.0,
sherlock holmes,64.0,
shoes,68.0,
snow white,62.0,
the social secretary,53.0,
vingarne,58.0,
where are my children?,63.0,
'49-'17,59.0,
bucking broadway,60.0,
cleopatra,65.0,
furcht,61.0,
a girl's folly,61.0,
himmelskibet,65.0,
joan the woman,65.0,
the little american,59.0,
the little princess,57.0,
mater dolorosa,64.0,
a modern musketeer,67.0,
otets sergiy,71.0,
the poor little rich girl,67.0,
"raffles, the amateur cracksman",64.0,
rebecca of sunnybrook farm,61.0,
a romance of the redwoods,57.0,
satana likuyushchiy,69.0,
straight shooting,62.0,
a tale of two cities,60.0,
terje vigen,74.0,
thomas graals bästa film,60.0,
tillie wakes up,48.0,
tom sawyer,61.0,
tösen från stormyrtorpet,67.0,
wild and woolly,64.0,
amarilly of clothes-line alley,58.0,
az aranyember,59.0,
die augen der mumie ma,55.0,
berg-ejvind och hans hustru,73.0,
the blue bird,70.0,
broadway love,60.0,
carmen,60.0,
la dixième symphonie,59.0,
das fidele gefängnis,62.0,
the forbidden city,54.0,
hearts of the world,64.0,
hell bent,61.0,
johanna enlists,51.0,
m'liss,65.0,
the married virgin,52.0,
mickey,59.0,
old wives for new,64.0,
a pair of silk stockings,44.0,
a romance of happy valley,61.0,
shifting sands,51.0,
shoulder arms,73.0,
stella maris,67.0,
tarzan of the apes,57.0,$ 3270000
tih minh,70.0,
the unbeliever,59.0,
the whispering chorus,68.0,
anders als die andern,70.0,
ravished armenia,59.0,
die austernprinzessin,72.0,
el automóvil gris,71.0,
back to god's country,63.0,
behind the door,71.0,
blind husbands,70.0,
broken blossoms or the yellow man and the girl,73.0,
the busher,57.0,
daddy-long-legs,65.0,
the delicious little devil,59.0,
don't change your husband,66.0,
eyes of youth,53.0,
"for better, for worse",54.0,
getting mary married,65.0,
the greatest question,58.0,
the grim game,68.0,
harakiri,56.0,
hawthorne of the u.s.a.,39.0,
heart o' the hills,56.0,
herr arnes pengar,73.0,
the hoodlum,67.0,
ich möchte kein mann sein,69.0,
ingmarssönerna,69.0,
j'accuse,77.0,
das cabinet des dr. caligari,81.0,$ 8811
male and female,70.0,
meyer aus berlin,60.0,
the miracle man,66.0,
the mother and the law,69.0,
die pest in florenz,63.0,
præsidenten,66.0,
die puppe,74.0,
the roaring road,52.0,
scarlet days,49.0,
the sentimental bloke,63.0,
"die spinnen, 1. teil - der goldene see",66.0,
sången om den eldröda blomman,69.0,
true heart susie,70.0,
unheimliche geschichten,65.0,
victory,66.0,
wagon tracks,67.0,
when the clouds roll by,69.0,
the wicked darling,64.0,
yankee doodle in berlin,55.0,
algol - tragödie der macht,63.0,
anna boleyn,66.0,
april folly,64.0,
l'atlantide,67.0,
blade af satans bog,67.0,
dr. jekyll and mr. hyde,70.0,
erotikon,66.0,
fante-anne,62.0,
the flapper,66.0,
der gang in die nacht,64.0,
genuine,60.0,
"der golem, wie er in die welt kam",72.0,
headin' home,51.0,
l'hirondelle et la mésange,71.0,
l'homme du large,69.0,
humoresque,62.0,
the jack-knife man,62.0,
just pals,66.0,
der klosterjäger,60.0,
klostret i sendomir,68.0,
kohlhiesels töchter,67.0,
the last of the mohicans,67.0,
the love expert,49.0,
the love flower,59.0,
the mark of zorro,71.0,
markens grøde,66.0,
the mollycoddle,65.0,
nomads of the north,57.0,
pollyanna,64.0,
prästänkan,71.0,
the restless sex,61.0,
romeo und julia im schnee,65.0,
the round-up,57.0,
the saphead,61.0,
sex,60.0,
something to think about,52.0,
"die spinnen, 2. teil - das brillantenschiff",64.0,
suds,63.0,
sumurun,61.0,
terror island,55.0,
the toll gate,65.0,
von morgens bis mitternachts,69.0,
das wandernde bild,61.0,
way down east,74.0,
why change your wife?,67.0,
within our gates,63.0,
the ace of hearts,68.0,
adventures of tarzan,60.0,
the affairs of anatol,66.0,
be my wife,69.0,
die bergkatze,70.0,
the blot,68.0,
buried treasure,64.0,
camille,66.0,
the conquering power,68.0,
dream street,55.0,
ducks and drakes,64.0,
eldorado,70.0,
enchantment,64.0,
forbidden fruit,65.0,
the four horsemen of the apocalypse,72.0,$ 9183673
hamlet,70.0,
hintertreppe,68.0,
das indische grabmal zweiter teil - der tiger von eschnapur,67.0,
das indische grabmal erster teil - die sendung des yoghi,66.0,
johan,68.0,
the kid,83.0,
körkarlen,81.0,
leap year,61.0,
little lord fauntleroy,67.0,$ 900000
the love light,65.0,$ 690965
miss lulu bett,70.0,
my boy,62.0,
der müde tod,77.0,$ 12156
the nut,65.0,
orphans of the storm,74.0,
outside the law,65.0,
rojô no reikion,67.0,
a sailor-made man,69.0,
sappho,68.0,
scherben,64.0,
schloß vogelöd,62.0,
the sheik,64.0,
the sky pilot,58.0,
la terre,69.0,
the three musketeers,69.0,$ 3270000
through the back door,68.0,
tol'able david,68.0,
too wise wives,59.0,
vier um die frau,62.0,
beauty's worth,61.0,
beyond the rocks,67.0,$ 265150
blood and sand,64.0,
der brennende acker,69.0,
the bride's play,62.0,
crainquebille,71.0,
der var engang,63.0,
dr. jack,71.0,
down to the sea in ships,61.0,
la femme de nulle part,65.0,
flesh and blood,62.0,
foolish wives,70.0,
die gezeichneten,65.0,
grandma's boy,70.0,
the headless horseman,49.0,
lorna doone,67.0,
the man from beyond,54.0,
manslaughter,62.0,
merry-go-round,66.0,
monte cristo,67.0,$ 177686
moran of the lady letty,64.0,
nathan der weise,69.0,
"nosferatu, eine symphonie des grauens",79.0,
oliver twist,67.0,
othello,64.0,
phantom,69.0,
the prisoner of zenda,67.0,
robin hood,72.0,
salomé,66.0,
saturday night,66.0,
schatten - eine nächtliche halluzination,68.0,
the seventh day,59.0,
shadows,63.0,
sherlock holmes,58.0,$ 384770
sky high,58.0,
sodom und gomorrha,60.0,
tess of the storm country,69.0,
the three must-get-theres,70.0,
the toll of the sea,66.0,
the trap,60.0,
trapped by the mormons,58.0,
das weib des pharao,66.0,
when knighthood was in flower,63.0,
the young rajah,63.0,$ 242900
das alte gesetz,68.0,
cameo kirby,52.0,
coeur fidèle,75.0,
the covered wagon,66.0,
the extra girl,66.0,
gunnar hedes saga,69.0,
gösta berlings saga,71.0,
haldane of the secret service,55.0,
the hunchback of notre dame,72.0,
little old new york,62.0,$ 2400000
our hospitality,78.0,
the pilgrim,74.0,$ 280171
raskolnikow,68.0,
rosita,65.0,
la roue,75.0,
safety last!,81.0,
scaramouche,70.0,
der schatz,67.0,
the shock,65.0,
souls for sale,70.0,
die straße,70.0,
sylvester,62.0,
the ten commandments,68.0,
three ages,71.0,
das wachsfigurenkabinett,66.0,
the white rose,64.0,
the white sister,68.0,$ 657532
white tiger,62.0,
why worry?,74.0,
a woman of paris: a drama of fate,70.0,
zaza,62.0,$ 427875
aelita,66.0,
america,64.0,
beau brummel,67.0,$ 290705
black oxen,59.0,
captain january,69.0,
the chechahcos,65.0,
dante's inferno,57.0,$ 259784
dorothy vernon of haddon hall,69.0,
the enchanted cottage,65.0,
the family secret,63.0,
la fille de l'eau,68.0,
die finanzen des großherzogs,64.0,
forbidden paradise,61.0,EUR 252076
girl shy,77.0,
he who gets slapped,78.0,
her night of romance,68.0,
hot water,72.0,
l'inhumaine,72.0,
the iron horse,72.0,
isn't life wonderful,69.0,
janice meredith,57.0,
kean,67.0,
der letzte mann,81.0,$ 94812
manhandled,65.0,
the marriage circle,72.0,
michael,71.0,
monsieur beaucaire,57.0,$ 556826
the navigator,77.0,
neobychainye priklyucheniya mistera vesta v strane bolshevikov,66.0,
die nibelungen: kriemhilds rache,79.0,
die nibelungen: siegfried,81.0,
open all night,47.0,
orlacs hände,71.0,
papirosnitsa ot mosselproma,68.0,
paris qui dort,72.0,
peter pan,71.0,$ 630229
the red lily,71.0,
romola,63.0,$ 497234
the sea hawk,70.0,$ 780187
secrets,55.0,$ 470454
sherlock jr.,82.0,$ 977375
stachka,76.0,
the thief of bagdad,77.0,
the white shadow,63.0,
wild oranges,68.0,
wine of youth,59.0,
yolanda,58.0,
die abenteuer des prinzen achmed,78.0,
the big parade,79.0,
body and soul,62.0,
braveheart,70.0,
bronenosets potemkin,80.0,$ 51198
the circle,63.0,
clash of the wolves,66.0,
cobra,64.0,
don q son of zorro,70.0,
du skal ære din hustru,71.0,
the eagle,66.0,$ 323150
le fantôme du moulin-rouge,63.0,
feu mathias pascal,71.0,
the freshman,75.0,$ 1392
die freudlose gasse,72.0,
furusato no uta,58.0,
glomdalsbruden,66.0,
go west,72.0,
the gold rush,82.0,
the goose woman,69.0,
greed,81.0,
gribiche,69.0,
her sister from paris,65.0,$ 230306
el húsar de la muerte,66.0,
lady windermere's fan,73.0,
lady of the night,66.0,$ 205550
the lady,50.0,$ 190048
lazybones,72.0,
lights of old broadway,60.0,
little annie rooney,67.0,$ 1100000
the little colonel,71.0,
the lost world,70.0,$ 1194450
the merry widow,73.0,
the monster,62.0,
the mystic,64.0,
orochi,71.0,
parisian love,62.0,
paths to paradise,67.0,
the phantom of the opera,76.0,$ 3751476
the plastic age,60.0,
the pleasure garden,60.0,
poil de carotte,70.0,
prem sanyas,68.0,
pretty ladies,37.0,
the rag man,71.0,
the red kimona,66.0,
riders of the purple sage,64.0,
the road to yesterday,68.0,
sally of the sawdust,66.0,$ 304081
"sally, irene and mary",38.0,
