Rank,Title,RatingTomatometer,Genres
1,black panther,97,action|adventure
2,mad max: fury road,97,action|adventure
3,wonder woman,93,action|adventure
4,metropolis,99,action|adventure
5,coco,97,action|adventure
6,dunkirk,92,action|adventure
7,incredibles 2,94,action|adventure
8,star wars: the last jedi,91,action|adventure
9,logan,93,action|adventure
10,star wars: episode vii - the force awakens,93,action|adventure
11,king kong,98,action|adventure
12,the adventures of robin hood,100,action|adventure
13,thor: ragnarok,92,action|adventure
14,baby driver,93,action|adventure
15,zootopia,97,action|adventure
16,seven samurai,100,action|adventure
17,spider-man: homecoming,92,action|adventure
18,up,98,action|adventure
19,the jungle book,95,action|adventure
20,war for the planet of the apes,93,action|adventure
21,the treasure of the sierra madre,100,action|adventure
22,lawrence of arabia,98,action|adventure
23,the dark knight,94,action|adventure
24,captain america: civil war,91,action|adventure
25,jaws,97,action|adventure
26,harry potter and the deathly hallows - part 2,96,action|adventure
27,the hurt locker,97,action|adventure
28,aliens,99,action|adventure
29,the lego movie,96,action|adventure
30,skyfall,92,action|adventure
31,ant-man and the wasp,88,action|adventure
32,star wars: episode iv - a new hope,93,action|adventure
33,wall-e,96,action|adventure
34,moana,95,action|adventure
35,the searchers,100,action|adventure
36,star trek,94,action|adventure
37,kubo and the two strings,97,action|adventure
38,the 39 steps,96,action|adventure
39,rio bravo,100,action|adventure
40,the terminator,100,action|adventure
41,mission: impossible rogue nation,93,action|adventure
42,marvel's the avengers,92,action|adventure
43,the african queen,98,action|adventure
44,star wars: episode v - the empire strikes back,95,action|adventure
45,once upon a time in the west,98,action|adventure
46,apocalypse now,96,action|adventure
47,blade runner 2049,87,action|adventure
48,the french connection,98,action|adventure
49,true grit,96,action|adventure
50,isle of dogs,89,action|adventure
51,throne of blood,98,action|adventure
52,"aguirre, the wrath of god",98,action|adventure
53,badlands,98,action|adventure
54,avengers: infinity war,84,action|adventure
55,yellow submarine,97,action|adventure
56,guardians of the galaxy,91,action|adventure
57,iron man,93,action|adventure
58,chicken run,97,action|adventure
59,spartacus,96,action|adventure
60,the princess bride,97,action|adventure
61,hunt for the wilderpeople,96,action|adventure
